SMIRKS,Source type,Sink type,Ref
"COC(=O)CC[C:10](=[N+:11]([O-:12])[O-])C1=CC=CC=C1.[CH2:20]=[NH2+:21]>>COC(=O)CC[C:10]([CH2:20][NH2:21])(C1=CC=CC=C1)[N+:11](=[O:12])[O-] 10,11=10,20;12=11;20,21=21",CNO2 nitronate anion,C=N+ iminium,"Kolczewski, Sabine; Pinard, Emmanuel; Stalder, HenriUS2010/197715, 2010, A1 Location in patent: Page/Page column 26-27"
"CCCC[C:22](=[O:23])[CH:21]=[CH2:20].C1CCC(=O)C(=[N+]([O-:10])[O-])C1>>CCCC[C:22](=[CH:21][CH2:20][O:10][N+](=C1CCCCC1=O)[O-])[O-:23] 10=20;20,21=21,22;22,23=23",CNO2 nitronate anion,C=C enone,"Vavrecka, Mojmir; Hesse, Manfred [Helvetica Chimica Acta, 1991, vol. 74, # 2, p. 438 - 444]"
"CCOC(=O)[CH:10]=[C:11]=[N-:12].C1=CC(=CC=C1[CH:20]=[O:21])Br>>CCOC(=O)[CH:10]([C:11]#[N:12])[CH:20](C1=CC=C(C=C1)Br)[O-:21] 10,11=10,20;12=11;20,21=21",CCN- acetonitrile anion,C=O aldehyde,"T. He, R. Shi, Y. Gong, G. Jiang, M. Liu, S. Qian, Z. Wang, Synlett, 2016, 27, 1864"
"COC1=C(C=C(C=C1)[CH:20]=[O:21])OC.COC1=C(C=C(C=C1)[C:10](=[C:11]=[N-:12])O)OC>>COC1=C(C=C(C=C1)[CH:20]([C:10]([C:11]#[N:12])(C2=CC(=C(C=C2)OC)OC)O)[O-:21])OC 10,11=10,20;12=11;20,21=21",CCN- acetonitrile anion,C=O aldehyde,"Ohta, Kazuchika; Hasebe, Hiroshi; Ema, Hiroshi; Moriya, Mitsuo; Fujimoto, Tetsuya; Yamamoto, Iwao[Molecular Crystals and Liquid Crystals (1969-1991), 1991, vol. 208, p. 21 - 32]"
"CC1(C2CCC(C2)([C:20]1=[O:21])C)C.[CH2:10]=[C:11]=[N-:12]>>CC1(C2CCC(C2)([C:20]1([CH2:10][C:11]#[N:12])[O-:21])C)C 10,11=10,20;12=11;20,21=21",CCN- acetonitrile anion,C=O ketone,"Dimitrov, Vladimir; Dobrikov, Georgi; Genov, Miroslav[Tetrahedron Asymmetry, 2001, vol. 12, # 9, p. 1323 - 1329]"
"COC1=CC=C(C=C1)[CH:11]=[C:10]=[N-].C1CC[C:20](=[O:21])CC1>>COC1=CC=C(C=C1)[CH+:11][C:10](=[N-])[C:20]2(CCCCC2)[O-:21] 10,11=10,20;20,21=21",CCN- acetonitrile anion,C=O ketone,"UNICHEM LABORATORIES LIMITEDWO2007/94008, 2007, A2 Page/column 7"
"C1=CN=CC(=C1)[CH:20]=[NH2+:21].[CH:10](=[C:11]=[N-:12])C#N>>C1=CN=CC(=C1)[CH:20]([CH:10]([C:11]#[N:12])C#N)[NH2:21] 10,11=10,20;12=11;20,21=21",CCN- acetonitrile anion,C=N+ iminium,"Vereshchagin, Anatoly N.; Karpenko, Kirill A.; Elinson, Michail N.; Dorofeeva, Evgeniya O.; Goloveshkin, Alexander S.; Egorov, Mikhail P.[Mendeleev Communications, 2018, vol. 28, # 4, p. 384 - 386]"
"[CH2:10]=[C:11]=[N-:12].C1C=CC=C1[CH:20]=[O:21]>>C1C=CC=C1[CH:20]([CH2:10][C:11]#[N:12])[O-:21] 10,11=10,20;12=11;20,21=21",CCN- acetonitrile anion,C=O aldehyde,"Isabella Chiarotto, Leonardo Mattiello, and Marta Feroci* Acc. Chem. Res. 2019, 52, 12, 3297-3308"
"CC/C=C\C[CH:20]=[O+:21]C.CC(C)[Si](C(C)C)(C(C)C)[O:12][CH:11]=[C:10]1CCC1>>CC/C=C\C[CH:20]([C:10]1(CCC1)[CH:11]=[O+:12][Si](C(C)C)(C(C)C)C(C)C)[O:21]C 10,11=10,20;12=11;20,21=21",C=CO enol silyl ether,C=O+ oxacarbenium,"Pastor, I. M.; Yus, M. Current Organic Chemistry, 2012, 16, 1277-1312"
"CCO/[C:11](=[CH:10]/[N+]#N)/[O-:12].CC1=CC(=CC=C1)[C:20](=[OH+:21])C>>CCO[C:11](=[O:12])[CH:10]([C:20](C)(C1=CC=CC(=C1)C)[OH:21])[N+]#N 10,11=10,20;12=11;20,21=21",C=CO- enolate anion,C=O+ oxacarbenium,
"COC1=CC=C(C=C1)[CH:20]=[O:21].[CH2:10]=[C:11](C1CC1)[O-:12]>>COC1=CC=C(C=C1)[CH:20]([CH2:10][C:11](=[O:12])C2CC2)[O-:21] 10,11=10,20;12=11;20,21=21",C=CO- enolate anion,C=O aldehyde,"Abdel-Halim, M.; et al. J. Med. Chem. 2021, 64, 8, 4462"
"CC1(C[C:11](=[CH:10]C(=O)C1)[O-:12])C.[CH:21](=[CH:20]\Cl)\[N+:22](=[O:23])[O-]>>CC1(C[C:11](=[O:12])[CH:10](C(=O)C1)[CH:20]([CH:21]=[N+:22]([O-:23])[O-])Cl)C 10,11=10,20;12=11;20,21=21,22;22,23=23",C=CO- enolate anion,C=C nitroalkene,"Volynskii, V. E.; Sopova, A. S.[Journal of Organic Chemistry USSR (English Translation), 1982, vol. 18, # 12, p. 2215"
"CCCCN1C(=C)C(C2=C1C=CC(=C2)[CH:20]=[N+:21]3CCCCC3)(C)C.CC(C)(C)O/[C:11](=[CH:10]/C#N)/[O-:12]>>CCCCN1C(=C)C(C2=C1C=CC(=C2)[CH:20]([CH:10](C#N)[C:11](=[O:12])OC(C)(C)C)[N:21]3CCCCC3)(C)C 10,11=10,20;12=11;20,21=21",C=CO- enolate anion,C=N+ iminium,"Shivashimpi, Gururaj M.; Pandey, Shyam S.; Watanabe, Rie; Fujikawa, Naotaka; Ogomi, Yuhei; Yamaguchi, Yoshihiro; Hayase, Shuzi Tetrahedron Letters, 2012, 53, 5437 - 5440"
"CCCCCC(CC)O/[C:11](=[CH:10]\C#N)/[O-:12].C1=CC=C(C=C1)[C:20](=[O:21])C2=CC=CC=C2>>CCCCCC(CC)O[C:11](=[O:12])[CH:10](C#N)[C:20](C1=CC=CC=C1)(C2=CC=CC=C2)[O-:21] 10,11=10,20;12=11;20,21=21",C=CO- enolate anion,C=O ketone,
"CCO/[C:11](=[CH:10]/C1=CC=CS1)/[O-:12].CCO[C:20](=[O:21])OCC>>CCO[C:11](=[O:12])[CH:10](C1=CC=CS1)[C:20]([O-:21])(OCC)OCC 10,11=10,20;12=11;20,21=21",C=CO- enolate anion,C=O carbonate,"Blicke; Leonard[Journal of the American Chemical Society, 1946, vol. 68, p. 1934"
"C[C:10]1=[C:11](N(C(=O)N(C1=O)C)C)[O-:12].C[C:22](=[O:23])[CH:21]=[CH2:20]>>C[C:22](=[CH:21][CH2:20][C:10]1(C(=O)N(C(=O)N([C:11]1=[O:12])C)C)C)[O-:23] 10,11=10,20;12=11;20,21=21,22;22,23=23",C=CO- enolate amide anion,C=C enone,"Kise, N.; Tuji, T.; Sakurai, T. Tetrahedron Lett 2016, 57, 1790"
"CCOC(=O)CC[C:20](=[O:21])C(=O)OCC.CCO/[C:11](=[C:10](\C)/P(=O)(OCC)OCC)/[O-:12]>>CCOC(=O)CC[C:20](C(=O)OCC)([C:10](C)([C:11](=[O:12])OCC)P(=O)(OCC)OCC)[O-:21] 10,11=10,20;12=11;20,21=21",C=CO- enolate ester anion,C=O ketone,"Spanedda, M.V.; Bourel-Bonnet, L. Bioconjugate Chem.2021, 32, 482"
CCO/[C:11](=[CH:10]/C1=C(C=CC=C1)C(=O)OC)/[O-:12].C1=CC=C(C=C1)[CH:20]=[O:21]>>CCO[C:11](=[O:12])[CH:10](C1=C(C=CC=C1)C(=O)OC)[CH:20](C2=CC=CC=C2)[O-:21] 10=20,C=CO- enolate ester anion,C=O aldehyde,"Loewenthal; Pappo J. Chem. Soc. 1952, p. 4799,4803"
CCO[C:20](=[O:21])CC1=CC=CC=C1.CCO/[C:11](=[CH:10]/C1=CC=CC=C1)/[O-:12]>>CCO[C:11](=[O:12])[CH:10](C1=CC=CC=C1)[C:20](CC2=CC=CC=C2)([O-:21])OCC 10=20,C=CO- enolate ester anion,C=O ester,"Shivers; Hudson; Hauser J. Am. Chem. Soc. 1943, vol. 65, p. 2052]"
"CCO[CH:20]=[O:21].CCO/[C:11](=[CH:10]/C1=CC=C(C=C1)Cl)/[O-:12]>>CCO[CH:20]([CH:10](C1=CC=C(C=C1)Cl)[C:11](=[O:12])OCC)[O-:21] 10,11=10,20;12=11;20,21=21",C=CO- enolate ester anion,C=O ester,"Davies, S. J.; Ayscough, A. P.; Beckett, R. P.; Bragg, R. A.; Clements, J. M.; Doel, S.; Grew, C.; et. al. Bioorganic and Medicinal Chemistry Letters, 2003, 13, 2709 - 2713"
"CC(C)[N+:21](=[CH2:20])C(C)C.CO/[C:11](=[C:10](/C(=O)OC)\F)/[O-:12]>>CC(C)[N:21]([CH2:20][C:10]([C:11](=[O:12])OC)(C(=O)OC)F)C(C)C 10,11=10,20;12=11;20,21=21",C=CO- enolate anion,C=N+ iminium,"Lisse, Etienne; Sandford, Graham J. Fluorine Chemistry 2018, vol. 206, p. 117 - 124]"
"C1=CC=C(C=C1)[CH:20]=[O:21].C1=CC=C(C=C1)/[C:11](=[CH:10]\Cl)/[O-:12]>>C1=CC=C(C=C1)[CH:20]([CH:10]([C:11](=[O:12])C2=CC=CC=C2)Cl)[O-:21] 10,11=10,20;12=11;20,21=21",C=CO- enolate anion,C=O aldehyde,"Manuel Ballester Chemical Reviews 1955, 55, 2, 283-300"
"COC1=CC=C(C=C1)COCC[C:10]2=[C:11](CCCC2C=C)[O-:12].C#C[CH2:20][Br:21]>>COC1=CC=C(C=C1)COCC[C:10]2(C(CCC[C:11]2=[O:12])C=C)[CH2:20]C#C.[Br-:21] 10,11=10,20;12=11;20,21=21",C=CO- enolate anion,C-Br,"Webster, C. G.; et al. Tetrahedron Letters 2021, 71, 153055"
"CC1(C[C:11](=[CH:10]C(=O)C1)[O-:12])C.[CH2:20]=[N+:21]1CCC2C1(CCC2)C/C=C/C3=CC=CC=C3>>CC1(C[C:11](=[O:12])[CH:10](C(=O)C1)[CH2:20][N:21]2CCC3C2(CCC3)C/C=C/C4=CC=CC=C4)C 10,11=10,20;12=11;20,21=21",C=CO- enolate anion,C=N+ iminium,"Tatsuya Ito, Larry E. Overman*, and Jocelyn Wang J Am Chem Soc. 2010 March 17; 132(10): 3272"
"C[Si](C)(C)[C:20](=[O:21])C=C(Cl)Cl.[CH2:10]=[C:11](C1CC1)[O-:12]>>C[Si](C)(C)[C:20]([CH2:10][C:11](=[O:12])C1CC1)(C=C(Cl)Cl)[O-:21] 10,11=10,20;12=11;20,21=21",C=CO- enolate anion,carbonyl acylsilane,"Takeda, K.; et al. Chem Lett. 1998, 27, 1157"
"C[C:20](=[O:21])C(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[CH2:10]=[C:11](C(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)[O-:12]>>C[C:20]([CH2:10][C:11](=[O:12])C(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)(C(C4=CC=CC=C4)(C5=CC=CC=C5)C6=CC=CC=C6)[O-:21] 10,11=10,20;12=11;20,21=21",C=CO- enolate anion,C=O ketone,"Janice L. Greene and Harry D. Zook J. Am. Chem. Soc. 1958, 80, 14, 3629-3632"
"CC1=CC2=C(C(=C1)C)[C:20](=[O:21])C2.CC1=CC2=C(C(=C1)C)[C:11](=[CH:10]2)[O-:12]>>CC1=CC2=C(C(=C1)C)[C:20](C2)([CH:10]3C4=C([C:11]3=[O:12])C(=CC(=C4)C)C)[O-:21] 10,11=10,20;12=11;20,21=21",C=CO- enolate anion,C=O ketone,"Domenick J. Bertelli and Phillip Crews J. Am. Chem. Soc 1968, 90, 14, 3889-3890"
"CCOC(=O)[C:10]1=[C:11](C(CC1)C)[O-:12].CO[C:22](=[O:23])[CH:21]=[CH2:20]>>CCOC(=O)[C:10]1(CCC([C:11]1=[O:12])C)[CH2:20][CH:21]=[C:22]([O-:23])OC 10,11=10,20;12=11;20,21=21,22;22,23=23",C=CO- enolate anion,C=C enoate,"Herbert O. House, Wendell L. Roelofs, and Barry M. Trost J. Org. Chem. 1966, 31, 3, 646-655"
"CC/[C:21](=[CH:20]/C(=O)C1=CC=CC=C1)/[N+:22](=[O:23])[O-].CC(C)(C)[C:11](=[CH2:10])[O-:12]>>CC[C:21](=[N+:22]([O-:23])[O-])[CH:20]([CH2:10][C:11](=[O:12])C(C)(C)C)C(=O)C1=CC=CC=C1 10,11=10,20;12=11;20,21=21,22;22,23=23",C=CO- enolate anion,C=C nitroalkene,"Palmieri, Alessandro; Gabrielli, Serena; Sampaolesi, Susanna; Ballini, Roberto Synlett, 2015, 26 1207 - 1212"
"CC1=C(C=CC(=C1)Br)[N-:10]CCCC2(CCOCC2)[C:20](=[O:21])OC>>CC1=C(C=CC(=C1)Br)[N:10]2CCCC3(CCOCC3)[C:20]2([O-:21])OC 10=20;20,21=21",NAr anilide anion,C=O ester,"SANOFI-AVENTIS; GAO, Zhongli; HARTUNG, Ryan; STEFANY, David WO2010/65798, 2010, A1, Page column 53"
"CC1=CC=CC(=C1)/N=C\2/C(=O)[N-:10]C3=CC=C(C=C23)C.C1=CC=C(C=C1)/[CH:20]=[CH:21]/[C:22](=[O:23])/C=C/C2=CC=CC=C2>>CC1=CC=CC(=C1)/N=C/2\C3=CC(=CC=C3[N:10](C2=O)[CH:20]([CH:21]=[C:22](/C=C/C4=CC=CC=C4)[O-:23])C5=CC=CC=C5)C 10=20;20,21=21,22;22,23=23",N- amide anion,C=C enone,"Chen, Xiao; Li, Zheng Journal of Chemical Research, 2020, vol. 44, # 11-12, p. 676 - 683"
"CCO[C:22](=[O:23])[CH:21]=[CH2:20].C=CCCCC1CCC[N-:10]C1=O>>CCO[C:22](=[CH:21][CH2:20][N:10]1CCCC(C1=O)CCCC=C)[O-:23] 10=20;20,21=21,22;22,23=23",N- amide anion,C=C enoate,"Ahn, Kyo Han; Lee, Seok Jong Tetrahedron Letters, 1994, vol. 35, # 12, p. 1875 _ 1878"
"C1=CC=C(C=C1)C[N-:10]CC2=CC=CC=C2.C1=CC2=C(C=C1)[C:20](=[O:21])OC3=C2C=CN=C3>>C1=CC=C(C=C1)C[N:10](CC2=CC=CC=C2)[C:20]3(C4=C(C=CC=C4)C5=C(O3)C=NC=C5)[O-:21] 10=20;20,21=21",N- amide anion,C=O ester,"Cai, Zhihua; Li, Shangda; Gao, Yuzhen; Li, Gang Advanced Synthesis and Catalysis, 2018, 360, 4005 - 4011"
"[CH2-:10]CCC1CCCC12OCCO2.C1=CC=C(C=C1)[CH:20]=[O:21]>>C1CC(C2(C1)OCCO2)CC[CH2:10][CH:20](C3=CC=CC=C3)[O-:21] 10=20;20,21=21",C- carbanion sp3,C=O aldehyde,"Shirong Zhu, Theodore Cohen Tetrahedron 1997, 53, 17607-17624"
"C/C(=C\[CH:20]=[O:21])/CC/C=C/C(=O)OC.C[Si](C)(C)[CH2-:10]>>C/C(=C\[CH:20]([CH2:10][Si](C)(C)C)[O-:21])/CC/C=C/C(=O)OC 10=20;20,21=21",C- carbanion sp3,C=O aldehyde,"James A. Marshall, Bradley S. DeHoff Tetrahedron 1987, 43, 9685-9688"
"CCC1(OCC(O1)[CH:20]=[O:21])CC.C1=CO[C-:10]=C1>>CCC1(OCC(O1)[CH:20]([C:10]2=CC=CO2)[O-:21])CC 10=20;20,21=21",C- carbanion sp2,C=O aldehyde,"Burke, Steven D.; O'Donnell, Christopher J.; Hans, Jeremy J.; Moon, Choong Woon; Ng, Raymond A.; Adkins, Thomas W.; Packard, Garrick K. Tetrahedron Letters, 1997, vol. 38, # 15, p. 2593 - 2596"
"C[C-:10]=C.C/C(=C\CCCC#CC[Si](C)(C)C)/CC[CH:20]=[O:21]>>C[C:10](=C)[CH:20](CC/C(=C/CCCC#CC[Si](C)(C)C)/C)[O-:21] 10=20;20,21=21",C- carbanion sp2,C=O aldehyde,"Garth S. Jones Tetrahedron Lett. 1994, 35, 9685-9688"
"COC1=CC(=C(C=C1)OC)C#CCC[CH:20]=[O:21].C1CC=[C-:10]C1>>COC1=CC(=C(C=C1)OC)C#CCC[CH:20]([C:10]2=CCCC2)[O-:21] 10=20;20,21=21",C- carbanion sp2,C=O aldehyde,"Li, Xin; Kyne, Robert E.; Ovaska, Timo V.[Journal of Organic Chemistry, 2007, 72, 6624 - 6627"
"CC1(C2CCC(C2)([C:20]1=[O:21])C)C.COC1=CC=CC=[C-:10]1>>CC1(C2CCC(C2)([C:20]1([C:10]3=CC=CC=C3OC)[O-:21])C)C 10=20;20,21=21",C- carbanion sp2,C=O ketone,"Wendt, Michael D.; Berson, Jerome A. J. Am. Chem. Soc. 1993, vol. 115, # 2, p. 433 - 439]"
"CCC[CH2-:10].CO[C:20](=[O:21])C1(CC1C2=CC=CC=C2)C(=O)N3CCCC3>>CCC[CH2:10][C:20](C1(CC1C2=CC=CC=C2)C(=O)N3CCCC3)([O-:21])OC 10=20;20,21=21",C- carbanion sp3,C=O ester,"Marcoux, David; Goudreau, Sebastien R.; Charette, Andre B. J. Org. Chem. 2009, vol. 74, # 23, p. 8939 - 8955"
"[CH3-:10].COC1CCC(C2C1C[C:20](=[O:21])C=C2)O[Si](C)(C)C>>[CH3:10][C:20]1(CC2C(CCC(C2C=C1)O[Si](C)(C)C)OC)[O-:21] 10=20;20,21=21",C- carbanion sp3,C=O enone,"N.N. Girotra, N.L. Wendler Tetrahedron Lett. 1982, 23, Pages 5501-5504"
"[CH3-:10].CC(C)C1CCC2(C3C1C2[C:20](=[O:21])CC3)C>>CC(C)C1CCC2(C3C1C2[C:20](CC3)([CH3:10])[O-:21])C 10=20;20,21=21",C- carbanion sp3,C=O ketone,"Clayton H. Heathcock, Rodney A. Badger, and John W. Patterson J. Am. Chem. Soc. 1967, 89, 16, 4133-4145"
"C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=[C-:10]C=C3.C1=CC2=C3C(=C1)C=CC4=C3C(=CC(=C4)Br)[C:20]2=[O:21]>>C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=[C:10](C=C3)[C:20]4(C5=C6C(=CC=C5)C=CC7=C6C4=CC(=C7)Br)[O-:21] 10=20;20,21=21",C- carbanion sp2,C=O ketone,"SAMSUNG DISPLAY CO., LTD.; Lim, Jin-O; Hwang, Seok-Hwan; Kim, Young-Kook; Jung, Hye-Jin; Han, Sang-Hyun; Kim, Soo-Yon; (Ä) Oh, Il-Soo; Lee, Jong-Hyuk US2013/328021, 2013, A1 Paragraph 0159; 0160"
"COC(=O)C1(CCCCC[C:20]1=[O:21])C2=CC=CC=[C-:10]2>>COC(=O)C12CCCCC[C:20]1([C:10]3=CC=CC=C32)[O-:21] 10=20;20,21=21",C- carbanion sp2,C=O ketone,"Tambar, Uttam K.; Stoltz, Brian M. J. Am. Chem. Soc. 2005, vol. 127, # 15, p. 5340 - 5341]"
"COC1=CC(=[C-:10]C=C1)OC.CO[C:20](=[O:21])C1=CC=C(C=C1)Br>>COC1=CC(=[C:10](C=C1)[C:20](C2=CC=C(C=C2)Br)([O-:21])OC)OC 10=20;20,21=21",C- carbanion sp2,C=O ester,"Louisiana State University WO2008/11508, 2008, A1 Page column 13; Fig. 14"
"CC(C)(C)/[N:21]=[CH:20]/C1=CC=CC=C1.[CH2-:10]C1=CC=CC=C1>>CC(C)(C)[N-:21][CH:20]([CH2:10]C1=CC=CC=C1)C2=CC=CC=C2 10=20;20,21=21",C- carbanion sp3,C=N imine,"Yamashita, Yasuhiro; Suzuki, Hirotsugu; Sato, Io; Hirata, Tsubasa; Kobayashi, Sh_ Angewandte Chemie - International Edition, 2018, vol. 57, # 23, p. 6896 - 6900"
"COC1=CC=C(C=C1)COCC[CH:20]=[O:21].[CH2-:10]CC=C>>COC1=CC=C(C=C1)COCC[CH:20]([CH2:10]CC=C)[O-:21] 10=20;20,21=21",C- carbanion sp3,C=O aldehyde,"Masaki Ohta, Shota Kato, Tomoya Sugai, and Haruhiko Fuwa J.Org.Chem.2021, 86, 5584_5615"
"CC[Si](CC)(CC)OCC#[C-:10].CC(C)(C=C)C([CH:20]=[O:21])OCC1=CC=CC=C1>>CC[Si](CC)(CC)OCC#[C:10][CH:20](C(C(C)(C)C=C)OCC1=CC=CC=C1)[O-:21] 10=20;20,21=21",C- carbanion sp,C=O aldehyde,"Gregson, Thomas; Thomas, Eric J. Tetrahedron, 2017, vol. 73, # 24, p. 3316 _ 3328"