smiles,score,name
CC(C)(C)C[O:1]CC(C)(C)C,-4.977962552,baldiNUC1
c1ccc(cc1)CC(=[O:1])c2ccccc2,-3.474917623,baldiNUC2
CCN(CC)C(=[O:1])C,0.989074244,baldiNUC3
CC(C)[C:1](=C[O-])C(C)C,18.91087074,baldiNUC4
CCCC(=[O:1])C(C)C,-2.76647365,baldiNUC5
CCC(C)C=[O:1],-3.319440499,baldiNUC6
CCC(=[NH:1])CC,11.15351458,baldiNUC7
CC[N:1]=Cc1ccccc1,8.437548393,baldiNUC8
CC(C)C(C(C)C)[NH-:1],30.86603582,baldiNUC9
C[C:1](=[N+]([O-])[O-])C,18.04054071,baldiNUC10
CCC(C)(C)[O:1]Cc1ccccc1,-3.553323364,baldiNUC11
CC(C)(C)C[O:1]C,-3.746084788,baldiNUC12
CCNC(=[O:1])C(C)C,-0.951107764,baldiNUC13
CC(C)C[C:1](=[N+]([O-])[O-])CC(C)C,15.14545511,baldiNUC14
CCC(CC)[C:1](=[N+]([O-])[O-])C,17.3334893,baldiNUC15
CCC(C(C)C)[O:1]CC,-4.915755093,baldiNUC16
CCC[C:1](=[N+]([O-])[O-])CCC,17.51583,baldiNUC17
CCCOC(=[O:1])c1ccccc1,-6.574905518,baldiNUC18
CCC(CC)C(=[O:1])O,-4.095685123,baldiNUC19
CCCN(CC)C(=[O:1])C(C)C,-1.969114264,baldiNUC20
CCCNC(=[O:1])c1ccccc1,-2.236694235,baldiNUC21
C[N:1](C)c1ccccc1,5.672281248,baldiNUC22
CCC(CC)[C:1](=[N+]([O-])[O-])C(C)(C)C,14.25541455,baldiNUC23
CCC[N:1](CC(C)C)C(C)C,8.716963591,baldiNUC24
CCC[CH-:1]CCC,41.51263156,baldiNUC25
CCC(C(C)C)[C:1](=C=[N-])CC(C)(C)C,23.72367046,baldiNUC26
CCC[N:1]=C(CC)CC,10.87449926,baldiNUC27
CC[C-:1](CC)C(C)C,39.35270103,baldiNUC28
CC(=[O:1])NC,0.798586573,baldiNUC29
CCC(CC)[O:1]c1ccccc1,-7.721085104,baldiNUC30
CC=[N:1]C,8.66311339,baldiNUC31
CCC[N:1]=C,9.156857387,baldiNUC32
CCCC(=[NH:1])C(C)C,10.36431158,baldiNUC33
CC[N-:1]Cc1ccccc1,29.20885611,baldiNUC34
CC(C)NC(=[O:1])C,0.851248468,baldiNUC35
CC[C:1](=C(C)[O-])Cc1ccccc1,20.34316718,baldiNUC36
CC(C)[C:1](=C(C)[O-])C(C)C,21.57101783,baldiNUC37
c1ccc(cc1)C[NH-:1],28.79954713,baldiNUC38
CC[N:1]=CC,9.790813701,baldiNUC39
c1ccc(cc1)[CH:1]=C=[N-],19.01607867,baldiNUC40
CC[N:1]=C(C)C,11.65311489,baldiNUC41
CCC[O:1]C(C(C)C)C(C)C,-4.720016541,baldiNUC42
c1ccc(cc1)C[C:1](=[N+]([O-])[O-])c2ccccc2,14.86780673,baldiNUC43
CC[C:1](=C(C)[O-])c1ccccc1,17.84541267,baldiNUC44
CCC(C)C(=[O:1])CC(C)(C)C,-3.413580025,baldiNUC45
CC[N:1](C)c1ccccc1,5.768176754,baldiNUC46
C[CH-:1][N+]#N,10.19263065,baldiNUC47
CCC[N:1](C(C)C)C(C)(C)C,7.561607008,baldiNUC48
CC[N:1]=C,9.194381604,baldiNUC49
CCC(C(C)C)[C-:1](CC)[N+]#N,6.902800498,baldiNUC50
CCC[N:1]=C(C)Cc1ccccc1,10.01132186,baldiNUC51
CCC(C(C)C)[N-:1]C,31.08009883,baldiNUC52
CCCC=[NH:1],10.03999895,baldiNUC53
CCC(CC)C(=[O:1])OCC,-4.413524895,baldiNUC54
CC(C)C(C(C)C)[C-:1](C(C)C)[N+]#N,-1.295553188,baldiNUC55
CC(C)(C)CC(=[O:1])C(C)(C)C,-5.749107419,baldiNUC56
CC(C)[C:1](=[N+]([O-])[O-])C(C)(C)C,16.39758738,baldiNUC57
CCC(C)[O:1]c1ccccc1,-6.675700945,baldiNUC58
CCC[C:1](=[N+]([O-])[O-])C(C)CC,17.05770821,baldiNUC59
CCC(CC)[CH-:1][N+]#N,8.396026701,baldiNUC60
CCC[N:1](CC)C(C)(C)C,8.908754605,baldiNUC61
CC(C)(C)[C-:1](c1ccccc1)[N+]#N,6.021041351,baldiNUC62
CCC[C-:1](CC(C)C)[N+]#N,8.554452254,baldiNUC63
CCC[C-:1](C)c1ccccc1,30.31948936,baldiNUC64
CCC(CC)[C-:1](CC)[N+]#N,7.262611037,baldiNUC65
CCN(C)C(=[O:1])c1ccccc1,-2.105293676,baldiNUC66
CCC(=[O:1])N(C)CC,-1.730043369,baldiNUC67
CC(C)C[C:1](=C=[N-])CC(C)C,23.25143578,baldiNUC68
CCC[CH:1]=C=[N-],26.11464416,baldiNUC69
CCC[C:1](=C=[N-])C(C(C)C)C(C)C,24.61962981,baldiNUC70
CC(C)COC=[O:1],-4.791536055,baldiNUC71
CC(C)[C:1](=C[O-])Cc1ccccc1,20.04318118,baldiNUC72
CCCC(=[O:1])Cc1ccccc1,-3.260573597,baldiNUC73
CCC[O:1]C,-3.280520016,baldiNUC74
CCC(CC)C(=[O:1])OC(C)C,-3.451855302,baldiNUC75
CCOC(=[O:1])c1ccccc1,-5.201954666,baldiNUC76
CCC(C(C)C)C(=[O:1])C(C)C,-3.03476382,baldiNUC77
CCC[C:1](=C(CC)[O-])c1ccccc1,19.21234225,baldiNUC78
CC(C)C[NH:1]C,10.99448188,baldiNUC79
CCCN(C(C)C)C(=[O:1])CC,1.099993988,baldiNUC80
CC[C-:1](C)CC,40.84378431,baldiNUC81
CCC(C(C)C)[C-:1](C(C)(C)C)[N+]#N,6.064884034,baldiNUC82
CC(C)C(=[O:1])NC(C)C,1.018777702,baldiNUC83
CCCOC(=[O:1])Cc1ccccc1,-3.90747513,baldiNUC84
CCCOC(=[O:1])C(CC)CC,-2.872292246,baldiNUC85
CCCN(C)C=[O:1],0.540087019,baldiNUC86
CCC(CC)C(=[O:1])C(CC)CC,-4.714735923,baldiNUC87
CC[N-:1]CC(C)(C)C,29.44638653,baldiNUC88
CC(C)(C)[NH:1]c1ccccc1,6.439445303,baldiNUC89
[N:1]#CC(C(C)C)C(C)C,-1.308352575,baldiNUC90
CC(C)(C)CC(=[O:1])c1ccccc1,-3.486824301,baldiNUC91
CCCC=[N:1]c1ccccc1,6.853087671,baldiNUC92
CCC(=[O:1])Nc1ccccc1,-1.237601802,baldiNUC93
CC(C)C[C:1](=[N+]([O-])[O-])C(C(C)C)C(C)C,13.56090566,baldiNUC94
CCNC=[O:1],-0.023989354,baldiNUC95
C[C-:1](CC(C)(C)C)[N+]#N,7.89222198,baldiNUC96
CCC(CC)[C:1](=C=[N-])C(C(C)C)C(C)C,22.09074035,baldiNUC97
[N:1]#C[H],-2.533107086,baldiNUC98
CCC[C-:1](C(CC)CC)[N+]#N,9.130734102,baldiNUC99
CC(C)[N-:1]c1ccccc1,20.08052658,baldiNUC100
CC(C)(C)[C:1](=C=[N-])C(C)(C)C,24.86998267,baldiNUC101
[C:1](C(C)(C)C)(C#N)=C=[N-],13.27440299,baldiNUC102
CC[N:1](CC)CC,9.89168355,baldiNUC103
CC[C-:1](C(C)C)C(C)C,40.54588821,baldiNUC104
CCC(CC)[C:1](=C=[N-])C(C)(C)C,24.18747736,baldiNUC105
CCC(C)C(=[O:1])O,-4.323153497,baldiNUC106
CC(C)C(C(C)C)C(=[O:1])C(C)C,-2.70880045,baldiNUC107
CCC(CC)[N-:1]C(C)(C)C,29.09723026,baldiNUC108
CC(C)[CH:1]=C(C)[O-],21.95026629,baldiNUC109
CC[C-:1](C)[N+]#N,10.13543538,baldiNUC110
CC(C)(C)C[NH-:1],29.8386103,baldiNUC111
CCC(CC)[C-:1](C(C)C)[N+]#N,6.900840802,baldiNUC112
C=[O:1],-5.835865203,baldiNUC113
CCC(CC)[O:1]C(C)(C)CC,-2.993289056,baldiNUC114
CC(C)[CH-:1]c1ccccc1,32.17593681,baldiNUC115
C[CH-:1]C(C)(C)C,40.69908182,baldiNUC116
CCN(CC)C(=[O:1])c1ccccc1,0.247198237,baldiNUC117
CCC[N:1]=CC,9.796963017,baldiNUC118
CC(C)NC=[O:1],-0.286270472,baldiNUC119
CCC[C-:1](C(C)C)C(C)C,40.7227438,baldiNUC120
CC[N-:1]CC(C)C,30.55826885,baldiNUC121
CCN(CC)C=[O:1],0.464361073,baldiNUC122
CCC[C-:1](CCC)CC(C)C,40.7514729,baldiNUC123
[C:1](CCC)(C#N)=C=[N-],13.26251633,baldiNUC124
CC(C)[CH:1]=C=[N-],25.69332425,baldiNUC125
CCC[N:1](CC)c1ccccc1,5.864072261,baldiNUC126
CC(C)(C)C[C:1](=C=[N-])CC(C)(C)C,24.11019348,baldiNUC127
CC(C)[C:1](=C[O-])c1ccccc1,17.57172017,baldiNUC128
CCC(C(C)C)C(=[O:1])C(C)(C)C,-4.887962955,baldiNUC129
CCC(C)[N-:1]Cc1ccccc1,29.34763392,baldiNUC130
CC[CH:1]=C(C)[O-],21.82006051,baldiNUC131
CCC(CC)[O:1]C(CC)CC,-2.229493283,baldiNUC132
CCC(=[N:1]CC)c1ccccc1,9.804249858,baldiNUC133
C[CH-:1]CC(C)C,41.81342769,baldiNUC134
CCC(C)[C:1](=C=[N-])C,25.62002458,baldiNUC135
C[NH2:1],11.09037739,baldiNUC136
CCC[N:1](C)CC,9.915657427,baldiNUC137
CCC(C)[CH:1]=[N+]([O-])[O-],16.82282724,baldiNUC138
CC(=[O:1])Cc1ccccc1,-3.173758536,baldiNUC139
CC(C)C[C-:1](c1ccccc1)[N+]#N,4.021575396,baldiNUC140
CC(C)C[CH-:1][N+]#N,9.548960956,baldiNUC141
C[CH:1]=C(C)[O-],22.7999527,baldiNUC142
CC(C)C[C:1](=C=[N-])C,26.25048381,baldiNUC143
CC(C)C(=[N:1]C)c1ccccc1,9.608621473,baldiNUC144
CCC[O:1]CC,-3.099782266,baldiNUC145
CCC(C(C)C)[C:1](=C=[N-])CC,24.73489489,baldiNUC146
CCCN(C=[O:1])c1ccccc1,-2.268759449,baldiNUC147
CC[N-:1]C(C(C)C)C(C)C,28.64204813,baldiNUC148
CCCC(=[O:1])C(C)(C)C,-3.33951491,baldiNUC149
CCCC(=[CH:1]C(C)C)[O-],23.30647092,baldiNUC150
CC(=[NH:1])c1ccccc1,9.784616245,baldiNUC151
CCCC(=[CH:1]Cc1ccccc1)[O-],22.00276778,baldiNUC152
CCC[C:1](=C(CC)[O-])C,24.30086835,baldiNUC153
CCC[N-:1]C(CC)C(C)C,31.11933334,baldiNUC154
CCC(=[CH:1]c1ccccc1)[O-],18.36093893,baldiNUC155
CCC(CC)OC(=[O:1])C(C)C,-3.817573754,baldiNUC156
CCCC(=[C:1](C)C(C)C)[O-],24.92316335,baldiNUC157
CCC[NH-:1],29.44448371,baldiNUC158
CCC(=[O:1])NC(C)C,-0.634286433,baldiNUC159
CCCN(CCC)C(=[O:1])c1ccccc1,0.20825418,baldiNUC160
[C-:1]#[N+]C(C)(CC)CC,9.467175998,baldiNUC161
CC(C)COC(=[O:1])C,-3.895373714,baldiNUC162
CCCC(=[C:1](CC)C(C)C)[O-],21.36674458,baldiNUC163
CCC(C(C)C)[N-:1]C(CC)C(C)C,31.4086452,baldiNUC164
CC(C)[N-:1]C(C)(C)C,29.99503781,baldiNUC165
CCC[C-:1](CCC)C(C)C,41.27651128,baldiNUC166
CCC=[O:1],-4.177632012,baldiNUC167
C[C:1](=C(c1ccccc1)[O-])C,21.64735861,baldiNUC168
CCC[N:1]=C(CC)Cc1ccccc1,9.732279127,baldiNUC169
CCC[C:1](=C=[N-])c1ccccc1,19.57819955,baldiNUC170
CC(C)C[C-:1](C)[N+]#N,8.440176302,baldiNUC171
CC(C)C[N:1](C)C(C)(C)C,8.692989714,baldiNUC172
CCC(CC)[N-:1]C(C)C,31.08617763,baldiNUC173
CC[N:1]=C(c1ccccc1)C(C)C,8.937294284,baldiNUC174
CC(C)(C)[N:1](C)C,10.17937007,baldiNUC175
CC(C)[C:1](=C=[N-])CC(C)(C)C,25.26134914,baldiNUC176
CC[N-:1]c1ccccc1,22.20486297,baldiNUC177
CCC(CC)[O:1]Cc1ccccc1,-4.691597212,baldiNUC178
[C:1](C(CC)(CC)CC)(C#N)=C=[N-],10.68373496,baldiNUC179
C(=[O:1])N,-0.696473828,baldiNUC180
c1ccc(cc1)[CH-:1][N+]#N,6.18618302,baldiNUC181
CCCC(=[O:1])OC(CC)CC,-2.737232796,baldiNUC182
CCC(C)OC(=[O:1])C,-3.052647419,baldiNUC183
CCCC(=[C:1](CC)Cc1ccccc1)[O-],21.9156847,baldiNUC184
CCC[C-:1](CC(C)(C)C)[N+]#N,6.932177013,baldiNUC185
C[C:1](=C(C)[O-])C,23.61615368,baldiNUC186
CCC(C)[C-:1](CC(C)C)[N+]#N,6.774370616,baldiNUC187
CC(C)(C)[CH2-:1],38.92601584,baldiNUC188
CCC[C:1](=C(CCC)[O-])CC,23.34460092,baldiNUC189
CC(C)(C)[C:1](=C=[N-])c1ccccc1,20.44450632,baldiNUC190
CC[C-:1](C(C(C)C)C(C)C)[N+]#N,6.49611119,baldiNUC191
CCC(C)[CH-:1][N+]#N,9.351525926,baldiNUC192
CC(C)(C)C[C-:1](CC(C)(C)C)[N+]#N,5.77616058,baldiNUC193
CCCN(CCC)C(=[O:1])C(C)C,-3.690744867,baldiNUC194
CCC[C-:1](CC)CCC,39.94899538,baldiNUC195
C[C:1](=C[O-])C,21.53773297,baldiNUC196
CCCN(CC)C(=[O:1])c1ccccc1,-1.957287711,baldiNUC197
CCCC(=[O:1])c1ccccc1,-3.991833379,baldiNUC198
CC[C-:1](CC)[N+]#N,9.705292069,baldiNUC199
CC(C)(C)[C-:1](Cc1ccccc1)[N+]#N,7.177274948,baldiNUC200
CCC[N:1](CC)CC(C)C,9.412206016,baldiNUC201
c1ccc(cc1)CC(=[O:1])O,-4.602085064,baldiNUC202
CCC(C)[NH-:1],30.00608805,baldiNUC203
CC(C)[NH:1]C(C)(C)C,8.740937467,baldiNUC204
CC(C)[CH-:1]C(C)C,40.12646588,baldiNUC205
[C-:1]#[N+]C(C)(C)CC,9.553407966,baldiNUC206
[C:1](C2=CC=CC=C2)(C#N)=C=[N-],8.482177731,baldiNUC207
CCN(C(C)C)C(=[O:1])c1ccccc1,0.257827043,baldiNUC208
CCC(C)[O:1]CC,-3.863730592,baldiNUC209
CC(C)CC(=[O:1])C,-1.77049153,baldiNUC210
CCC(CC)[C-:1](CC(C)C)[N+]#N,7.374469072,baldiNUC211
CC(C)[C:1](=[N+]([O-])[O-])C,17.61141927,baldiNUC212
CCC[C-:1](c1ccccc1)[N+]#N,5.233340506,baldiNUC213
CC(C)C=[N:1]c1ccccc1,6.562330588,baldiNUC214
CCC(C)OC(=[O:1])CC,-3.212513636,baldiNUC215
CC(C)C[NH2:1],10.92256025,baldiNUC216
CCC(C(C)C)[N-:1]CC(C)C,29.71646274,baldiNUC217
CC(C)(C)[O:1]Cc1ccccc1,-3.371273316,baldiNUC218
CCC(C)[C-:1](C(C)CC)[N+]#N,7.78598664,baldiNUC219
CC[N:1]=C(C)C(C)C,9.538774432,baldiNUC220
CCC(C)[C:1](=C=[N-])C(CC)C(C)C,22.41595081,baldiNUC221
CCC(C)C(=[O:1])OC,-3.98396768,baldiNUC222
CC[C:1](=C=[N-])Cc1ccccc1,25.751773,baldiNUC223
CCC(C)[C:1](=[N+]([O-])[O-])C(C)CC,16.46957891,baldiNUC224
CC(C)[N-:1]C(C)C,30.88403102,baldiNUC225
CC[N-:1]C(C)(C)C,29.82397918,baldiNUC226
CCC[C-:1](CC)CC(C)C,42.32381113,baldiNUC227
CCC(CC)[C:1](=C=[N-])CC(C)(C)C,24.32046886,baldiNUC228
CC(C)(C)[C:1](=[N+]([O-])[O-])C(C)(C)C,16.7707933,baldiNUC229
CCCN(C(C)C)C(=[O:1])C(C)C,-0.817122504,baldiNUC230
C[C-:1](c1ccccc1)[N+]#N,5.170107476,baldiNUC231
CCC[C:1](=C(C)[O-])C(C)C,20.99910307,baldiNUC232
CC[C-:1](C)C(C)(C)C,40.57640054,baldiNUC233
[CH3-:1],35.90496842,baldiNUC234
CCC(C)[C:1](=[N+]([O-])[O-])CC(C)C,16.66088046,baldiNUC235
CC[C:1](=C(C)[O-])C,23.46545278,baldiNUC236
CCCC(=[O:1])OCC(C)(C)C,-2.92242687,baldiNUC237
CCC[C:1](=[N+]([O-])[O-])C(C)(C)C,16.4635825,baldiNUC238
CC[C-:1](CC)CC,39.86113479,baldiNUC239
CCC(=[N:1]CC)C(C)C,10.53943548,baldiNUC240
CCCC=[N:1]CCC,9.894770119,baldiNUC241
CCCC(=[N:1]C)CC,11.08753692,baldiNUC242
C[O:1]c1ccccc1,-7.552478486,baldiNUC243
CC(C)C(=[N:1]C)Cc1ccccc1,10.23805806,baldiNUC244
CC(C)CC(=[O:1])CC(C)(C)C,-3.339502513,baldiNUC245
CC(C)(C)C(=[O:1])C(C)(C)C,-5.926477772,baldiNUC246
c1ccc(cc1)C(=[O:1])N,-0.173776817,baldiNUC247
CC(C)C[O:1]C(C)C,-2.826948485,baldiNUC248
CC(C)C(=[NH:1])Cc1ccccc1,8.745599555,baldiNUC249
CC(C)C(=[NH:1])c1ccccc1,9.298066751,baldiNUC250
CC(C)C[C:1](=[N+]([O-])[O-])C(C)(C)C,15.41994337,baldiNUC251
CC(=[O:1])CC(C)(C)C,-2.652019751,baldiNUC252
CCCC(=[O:1])OCc1ccccc1,-3.849918542,baldiNUC253
[C:1](C(C)(CC)CC)(C#N)=C=[N-],13.301028,baldiNUC254
CCC[C-:1](C)CC,40.7048766,baldiNUC255
CC(C)C(=[O:1])C,-2.302674134,baldiNUC256
CCC[N-:1]C(CC)CC,29.93287924,baldiNUC257
CC(C)N(C)C(=[O:1])C,0.1744028,baldiNUC258
CC(C)C(=[O:1])OC(C)C,-3.695457819,baldiNUC259
CCCN(c1ccccc1)C(=[O:1])CC,0.785800033,baldiNUC260
CC[C-:1](CC(C)C)[N+]#N,8.044558808,baldiNUC261
CCCC(=[N:1]c1ccccc1)C,7.355020936,baldiNUC262
CCNC(=[O:1])C,0.826433911,baldiNUC263
CCC[N:1]=CCC,9.963937405,baldiNUC264
CCC(C)[N-:1]C(C(C)C)C(C)C,29.23149094,baldiNUC265
CC[N:1](C)C(C)(C)C,9.148493372,baldiNUC266
CC[N:1](CC)Cc1ccccc1,10.02556204,baldiNUC267
CC(C)C[C:1](=[N+]([O-])[O-])C,16.15738228,baldiNUC268
CC(C)C[N:1](C)C(C)C,8.932728481,baldiNUC269
CCC(C(C)C)[C:1](=C=[N-])C(C)C,24.90544975,baldiNUC270
CC(C)C(C(C)C)[C:1](=[N+]([O-])[O-])C,15.70136364,baldiNUC271
CC(C)(C)C[C:1](=[N+]([O-])[O-])Cc1ccccc1,15.76159175,baldiNUC272
CCC(C)[C:1](=[N+]([O-])[O-])C(C)C,15.20268209,baldiNUC273
CCCN(Cc1ccccc1)C(=[O:1])CC,-2.012775388,baldiNUC274
CCCC(=[N:1]c1ccccc1)CC,8.192440485,baldiNUC275
CC(C)C[O:1]C,-3.405581228,baldiNUC276
CCC(CC)[C:1](=C=[N-])c1ccccc1,18.69778834,baldiNUC277
CCC(CC)[O:1]C(C(C)C)C(C)C,-1.480711817,baldiNUC278
CCCC(=[O:1])CC(C)C,-2.587498903,baldiNUC279
CC[C:1](=C=[N-])c1ccccc1,19.60436655,baldiNUC280
CCC(=[O:1])C(C(C)C)C(C)C,-3.738964829,baldiNUC281
C[O:1]C,-3.429840708,baldiNUC282
CC(C)C[N-:1]C(C(C)C)C(C)C,30.98844346,baldiNUC283
CC(C)[C-:1](C)C,40.48781563,baldiNUC284
CC(C)C[NH-:1],30.47845823,baldiNUC285
CCC(CC)[N-:1]C,30.35037435,baldiNUC286
CCC(C)(C)[O:1]CC(C)(C)C,-3.687184734,baldiNUC287
CC(C)[N:1](C)Cc1ccccc1,9.484127646,baldiNUC288
C[C:1](=C=[N-])C(C)(C)C,26.33209145,baldiNUC289
CC(C)[C:1](=[N+]([O-])[O-])C(C)C,16.05544251,baldiNUC290
CCC[C:1](=C(C)[O-])C,23.7237252,baldiNUC291
CC(C)(C)C[CH-:1][N+]#N,8.453374065,baldiNUC292
c1ccc(cc1)C[C:1](=C=[N-])c2ccccc2,18.77759305,baldiNUC293
CCC[NH:1]C(C)C,10.44308271,baldiNUC294
CCCC(=[CH2:1])[O-],22.3572293,baldiNUC295
CC(=[CH:1]c1ccccc1)[O-],17.92170048,baldiNUC296
CCC(CC)C(=[O:1])CC,-2.190221645,baldiNUC297
CC(C)C(=[O:1])N(C)C,-0.08753712,baldiNUC298
CCC[C:1](=C=[N-])C(C)CC,25.24839523,baldiNUC299
CC(C)C(C(C)C)[O:1]C(C)C,-3.982598865,baldiNUC300
[C:1](CC(C)(C)C)(C#N)=C=[N-],11.24164344,baldiNUC301
CC(C)C(=[O:1])c1ccccc1,-3.982936676,baldiNUC302
CC(C)C[N-:1]C,30.27033072,baldiNUC303
CC(C)C(C(C)C)C(=[O:1])C(C)(C)C,-4.915381729,baldiNUC304
CCC[C:1](=[N+]([O-])[O-])C(C)C,16.5815216,baldiNUC305
CCC(=[O:1])NCc1ccccc1,-1.990136485,baldiNUC306
CC(C)OC=[O:1],-4.711171574,baldiNUC307
CC[O:1]CC(C)(C)C,-3.592667157,baldiNUC308
CCC(C)[N-:1]C(CC)CC,29.52179287,baldiNUC309
CC[C:1](=C(CC)[O-])CC,22.33992185,baldiNUC310
[NH2-:1],27.40008058,baldiNUC311
